Sweep Start (s), 112.3071, 112.4709, 112.6347, 112.7986, 112.9624, 113.1263, 113.2901, 113.4539, 113.6178, 113.7816, 113.9455, 114.1093, 114.2731, 114.437, 114.6008, 114.7647, 114.9285, 115.0923, 115.2562, 115.42, 115.5839, 115.7477, 115.9115, 116.0754, 116.2392, 116.4031, 116.5669, 116.7307, 116.8946, 117.0584, 117.2223, 117.3861, 117.5499, 117.7138, 117.8776, 118.0415, 118.2053, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, Sweep #5, Sweep #6, Sweep #7, Sweep #8, Sweep #9, Sweep #10, Sweep #11, Sweep #12, Sweep #13, Sweep #14, Sweep #15, Sweep #16, Sweep #17, Sweep #18, Sweep #19, Sweep #20, Sweep #21, Sweep #22, Sweep #23, Sweep #24, Sweep #25, Sweep #26, Sweep #27, Sweep #28, Sweep #29, Sweep #30, Sweep #31, Sweep #32, Sweep #33, Sweep #34, Sweep #35, Sweep #36, Sweep #37, 
0.00038, -453.1906, -234.0134, -222.7219, -239.9949, -234.8679, -229.9851, -219.0598, -231.6025, -213.6277, -231.0837, -236.5464, -194.2795, -459.2636, -234.0134, -226.9639, -242.5583, -231.9993, -212.8037, -222.5083, -234.8679, -234.2576, -237.6145, -206.5781, -242.6499, -225.3159, -230.3513, -191.2278, -208.3481, -228.1846, -242.8635, -218.0222, -247.197, -202.2446, -201.2681, -250.5234, -239.1404, -208.3481, 
0.0004, -452.3667, -227.3911, -224.5224, -239.5981, -224.0952, -230.9617, -207.1274, -236.2107, -213.5666, -247.3801, -231.4499, -197.4534, -458.0429, -235.3867, -237.5229, -227.9404, -226.2925, -212.1933, -227.5437, -238.0112, -231.4805, -232.7317, -213.6887, -236.3938, -225.0718, -228.5813, -194.4626, -196.9651, -226.6892, -230.626, -222.3557, -234.9289, -196.3242, -203.74, -226.2009, -225.1633, -209.1721, 
0.00042, -453.5874, -247.9599, -227.4827, -243.4739, -213.0478, -221.5928, -212.2544, -235.1426, -217.2593, -241.948, -229.863, -201.8174, -444.1574, -242.1616, -238.0417, -228.7644, -232.2434, -223.668, -244.9997, -233.8303, -248.0515, -227.7878, -206.9138, -236.5159, -240.5747, -238.53, -203.6179, -200.6272, -235.112, -236.0276, -234.4101, -236.8821, -183.5373, -220.4636, -230.0156, -237.8891, -235.2341, 
0.00044, -449.2539, -227.8794, -232.7622, -240.2695, -224.6445, -225.7737, -224.0952, -228.3066, -214.3601, -239.5981, -220.8909, -208.3481, -444.7678, -226.3535, -235.3562, -221.5928, -242.6499, -236.7905, -227.147, -254.0024, -246.2815, -217.4729, -209.7214, -242.894, -231.8467, -240.6357, -200.4441, -204.8081, -229.3442, -238.9267, -238.4079, -233.3725, -186.9248, -228.4592, -245.7016, -246.373, -240.9714, 
0.00046, -451.8479, -232.7622, -232.7622, -229.5578, -230.9006, -216.1911, -194.188, -235.2036, -205.3879, -233.2505, -236.9431, -214.9094, -471.3181, -225.6516, -228.8559, -225.2549, -237.9807, -234.3491, -207.5547, -241.124, -228.8254, -228.8559, -202.855, -240.3611, -242.7109, -231.572, -199.9253, -194.2185, -227.9404, -227.6658, -241.0325, -244.603, -197.1787, -222.3862, -226.5976, -232.7927, -232.9148, 
0.00048, -449.5285, -232.396, -246.6477, -238.469, -229.6494, -214.4822, -202.2141, -234.1965, -221.6233, -234.8374, -234.5017, -209.935, -446.5073, -225.499, -226.0788, -228.8254, -230.0766, -235.112, -212.2239, -247.5937, -224.0342, -226.5671, -210.4233, -245.8237, -233.8608, -230.8396, -212.4985, -198.2773, -231.0532, -238.4079, -210.7895, -245.2134, -197.2397, -201.0544, -232.7317, -227.0554, -221.4707, 
0.0005, -451.0544, -234.4407, -233.9219, -228.4592, -211.1252, -226.2314, -203.3127, -230.5344, -237.645, -230.9006, -219.365, -202.4277, -455.0827, -228.093, -226.4451, -237.3398, -233.9829, -232.9148, -216.0386, -244.8472, -227.9404, -223.3017, -202.7329, -238.4385, -216.008, -236.4853, -199.8032, -205.6931, -244.3894, -240.9714, -226.4451, -244.7861, -197.6975, -211.9187, -239.1404, -241.4597, -212.8342, 
0.00052, -455.9677, -230.2598, -230.8091, -217.7781, -238.1638, -234.166, -207.9819, -258.0307, -229.6494, -237.2178, -231.8467, -202.7634, -453.0991, -236.5769, -222.966, -233.1589, -227.208, -235.5088, -206.3035, -255.2231, -232.1518, -208.7143, -195.7749, -243.718, -213.5056, -234.5017, -210.7285, -210.9116, -238.53, -241.6123, -242.4973, -239.4761, -191.4719, -226.7197, -238.8047, -236.6074, -206.7307, 
0.00054, -455.4184, -223.8816, -225.6516, -224.2783, -232.8843, -224.1562, -210.9726, -233.6777, -239.5066, -224.9497, -228.1846, -212.0408, -461.6135, -224.4614, -231.7246, -225.3464, -228.8559, -241.8259, -207.7988, -245.6101, -231.4805, -196.7209, -203.3127, -245.0303, -232.2129, -235.2341, -237.3398, -206.395, -248.1431, -236.0886, -238.9878, -228.4592, -207.8293, -222.9966, -233.4031, -222.7829, -207.9514, 
0.00056, -450.1389, -231.3279, -234.2881, -214.2075, -220.1889, -221.1045, -209.6604, -228.1235, -233.22, -225.499, -214.5737, -195.0119, -445.134, -220.9519, -227.3606, -237.4924, -227.208, -227.6658, -210.2097, -246.9834, -230.1072, -198.6435, -212.407, -236.1496, -229.8325, -240.9104, -233.0979, -214.2075, -242.5889, -238.0723, -241.2156, -237.4619, -210.0571, -213.1699, -227.0554, -226.9944, -212.407, 
0.00058, -437.2299, -235.936, -247.4411, -216.2522, -222.4778, -212.1933, -210.9726, -237.4619, -229.4663, -221.9895, -238.6826, -210.5454, -447.4228, -212.6206, -213.8413, -238.7436, -230.3818, -225.3464, -204.4114, -226.7807, -248.8144, -206.9748, -195.1645, -227.0554, -233.5862, -241.2461, -224.3393, -211.7661, -232.1518, -241.1545, -239.415, -230.7175, -192.2959, -226.7197, -234.8679, -224.4919, -213.0478, 
0.0006, -453.2212, -237.7366, -245.5491, -224.7666, -221.7148, -212.6816, -193.6081, -229.6799, -233.0063, -227.9099, -244.0842, -221.196, -448.1552, -213.9939, -218.0832, -241.1545, -233.8303, -233.2505, -207.0359, -235.3867, -244.3894, -206.456, -189.0305, -233.3115, -219.7617, -230.6565, -219.365, -214.116, -234.0134, -233.1589, -234.2576, -228.3066, -196.5989, -205.7541, -248.7534, -231.7856, -221.135, 
0.00062, -453.1906, -226.9028, -231.6941, -217.1677, -226.1094, -223.8511, -184.7886, -238.9267, -248.1125, -213.0173, -238.7131, -228.2761, -448.0942, -205.2659, -232.0298, -233.342, -230.9617, -234.9289, -213.5972, -233.1894, -224.7666, -204.1367, -197.4534, -249.8215, -205.2353, -231.4194, -208.5618, -213.9634, -232.396, -231.633, -238.9878, -238.53, -203.5874, -198.552, -244.9692, -235.4477, -210.1181, 
0.00064, -447.5754, -234.6848, -218.2358, -218.6936, -218.602, -229.8935, -192.6926, -228.8865, -230.5039, -228.2151, -233.6777, -234.7153, -455.4184, -201.3291, -225.438, -225.56, -222.1421, -234.99, -198.9792, -233.2505, -235.0815, -224.7056, -206.1203, -235.8445, -219.2734, -232.5486, -204.686, -217.7781, -237.9502, -240.4221, -237.8281, -235.4172, -186.1008, -212.6816, -241.6733, -236.2107, -210.6675, 
0.00066, -452.1225, -225.438, -232.1213, -211.8577, -229.039, -226.8723, -198.3078, -226.8723, -224.8887, -235.4783, -244.4199, -229.7104, -443.4555, -214.0854, -228.2456, -250.676, -231.8161, -230.626, -205.4795, -222.8745, -237.706, -198.3384, -217.1677, -234.3186, -225.6211, -235.875, -209.4162, -209.3247, -232.5181, -237.3398, -231.572, -240.178, -188.4507, -224.0036, -234.8374, -231.8467, -198.7656, 
0.00068, -449.3759, -229.2222, -233.0674, -215.2756, -224.8887, -215.886, -203.1601, -227.0249, -225.8957, -227.4521, -236.699, -218.8462, -459.5078, -224.3393, -230.2598, -236.2107, -217.6255, -240.4526, -198.613, -244.5725, -239.7812, -210.2707, -209.5993, -242.4363, -227.4521, -234.1965, -213.9634, -211.4609, -238.2248, -237.3703, -234.9289, -243.657, -192.2654, -206.4866, -242.9551, -226.1704, -213.1699, 
0.0007, -444.6152, -227.5742, -224.4614, -208.1345, -227.7268, -222.4473, -202.3667, -243.9927, -218.3579, -227.6963, -231.633, -244.2063, -450.9629, -203.3738, -235.6003, -216.4353, -230.0461, -225.8652, -224.3393, -226.5366, -224.5835, -211.5525, -213.5666, -234.8069, -233.1284, -237.645, -197.9722, -203.5264, -234.99, -228.2151, -229.8935, -244.4504, -202.4277, -198.1858, -231.1448, -240.1474, -212.5901, 
0.00072, -454.5334, -235.8139, -250.1572, -212.7121, -219.9753, -226.4451, -191.1057, -234.7153, -230.9617, -248.1736, -232.5181, -237.4009, -460.3012, -202.977, -237.3703, -211.2473, -228.7339, -213.2309, -214.4822, -231.5415, -239.4761, -209.9656, -203.9841, -241.9175, -231.0837, -231.1448, -207.6462, -217.5034, -219.4565, -228.4897, -237.3398, -225.6211, -201.5732, -212.2239, -218.2053, -226.2619, -196.782, 
0.00074, -453.5263, -240.0559, -231.8772, -201.7868, -217.3813, -223.3628, -200.8103, -226.6587, -229.5578, -227.3606, -230.3208, -217.6865, -455.1133, -204.5639, -228.917, -212.1018, -228.7339, -203.1907, -213.353, -227.8794, -230.687, -209.5993, -200.9629, -237.0347, -218.7241, -237.0957, -214.0244, -210.3623, -228.7034, -223.2407, -236.6379, -238.3469, -208.9585, -217.717, -245.8542, -247.3191, -211.9797, 
0.00076, -460.4538, -220.6467, -228.7644, -207.4631, -218.6631, -225.438, -208.6533, -224.675, -231.2668, -226.7197, -235.2341, -229.3137, -460.698, -219.5786, -216.1911, -214.2991, -236.821, -205.7541, -190.831, -237.4619, -225.3464, -207.0054, -203.4653, -245.3049, -236.821, -239.5981, -213.414, -199.1013, -240.2085, -235.6919, -234.3491, -239.0488, -198.1247, -212.3459, -254.7959, -231.2058, -222.966, 
0.00078, -458.6228, -219.0903, -235.4172, -201.9394, -222.5693, -225.1023, -194.7678, -228.0625, -222.3557, -246.6172, -235.3562, -225.3159, -459.7519, -215.7639, -228.032, -220.8298, -235.6919, -202.6108, -199.3454, -247.4411, -233.4946, -215.2146, -214.0244, -243.0161, -232.9453, -232.2739, -215.6113, -214.1465, -222.1116, -240.7578, -240.3, -224.8581, -183.8425, -215.0315, -248.7534, -226.7807, -208.2261, 
0.0008, -445.073, -234.7153, -231.6941, -207.3716, -224.3088, -219.6702, -188.4507, -237.2483, -224.7666, -243.718, -233.4641, -242.6499, -446.7514, -210.2097, -236.4548, -219.6396, -238.4995, -216.5574, -212.3764, -224.1257, -213.9634, -201.97, -210.698, -245.9153, -237.9807, -243.3518, -213.1394, -223.1186, -225.3159, -237.7366, -249.0281, -237.0652, -202.2446, -227.4521, -235.3257, -231.9077, -208.5312, 
0.00082, -453.9841, -233.1589, -243.4433, -219.0293, -236.1191, -226.0788, -183.1406, -236.3022, -238.1333, -230.6565, -233.0979, -244.3589, -456.7612, -207.3716, -235.5088, -221.2265, -236.1191, -209.7519, -202.8244, -229.2527, -225.0412, -218.6631, -201.5732, -235.7834, -231.0227, -232.7012, -218.8767, -209.9656, -236.7295, -246.251, -236.2107, -243.5349, -198.6435, -206.1509, -225.5295, -237.6145, -204.9912, 
0.00084, -456.2119, -239.8728, -228.3982, -212.9258, -237.0957, -222.7524, -200.1389, -235.2036, -241.124, -236.8515, -231.0837, -236.3022, -455.2658, -222.844, -240.4831, -212.9258, -228.1846, -209.7214, -197.0871, -225.3769, -222.7524, -219.487, -211.4609, -244.6335, -234.5322, -242.3752, -218.2053, -203.4958, -240.3916, -241.8869, -234.6238, -241.5207, -194.5237, -208.8364, -219.0293, -237.3703, -206.8528, 
0.00086, -462.3154, -244.3894, -241.9785, -203.3738, -228.1235, -214.5127, -208.043, -241.5513, -234.5017, -228.093, -235.051, -226.0788, -452.7939, -244.6335, -236.1802, -210.9726, -232.1518, -207.0359, -222.2031, -235.5088, -200.7187, -198.8266, -208.104, -247.7768, -232.8537, -235.8139, -212.2239, -216.7405, -236.7295, -227.7268, -228.5508, -240.6052, -194.7068, -208.7143, -217.1067, -230.5954, -208.3481, 
