Sweep Start (s), 11.12736, 11.2912, 11.45504, 11.61888, 11.78272, 11.94656, 12.1104, 12.27424, 12.43808, 12.60192, 12.76576, 12.9296, 13.09344, 13.25728, 13.42112, 13.58496, 13.7488, 13.91264, 14.07648, 14.24032, 14.40416, 14.568, 14.73184, 14.89568, 15.05952, 15.22336, 15.3872, 15.55104, 15.71488, 15.87872, 16.04256, 16.2064, 16.37024, 16.53408, 16.69792, 16.86176, 17.0256, 17.18944, 17.35328, 17.51712, 17.68096, 17.8448, 18.00864, 18.17248, 18.33632, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, Sweep #5, Sweep #6, Sweep #7, Sweep #8, Sweep #9, Sweep #10, Sweep #11, Sweep #12, Sweep #13, Sweep #14, Sweep #15, Sweep #16, Sweep #17, Sweep #18, Sweep #19, Sweep #20, Sweep #21, Sweep #22, Sweep #23, Sweep #24, Sweep #25, Sweep #26, Sweep #27, Sweep #28, Sweep #29, Sweep #30, Sweep #31, Sweep #32, Sweep #33, Sweep #34, Sweep #35, Sweep #36, Sweep #37, Sweep #38, Sweep #39, Sweep #40, Sweep #41, Sweep #42, Sweep #43, Sweep #44, Sweep #45, 
0.00036, -234.4712, -228.154, -199.4065, -235.2341, -214.1465, -235.9971, -245.9153, -233.8303, -239.1098, -228.4287, -221.7759, -431.4926, -227.5437, -228.3066, -236.0276, -242.6194, -210.2097, -235.1426, -248.9975, -233.342, -229.863, -231.1448, -227.208, -246.1899, -238.4385, -232.3044, -229.4968, -240.3916, -223.6069, -226.7502, -256.749, -231.4194, -252.4765, -230.5649, -237.3093, -225.2549, -224.5224, -242.0701, -234.4407, -226.6587, -232.5791, -238.1333, -229.4053, -232.2129, -234.166, 
0.00038, -226.4756, -248.6008, -208.7143, -226.0483, -224.4004, -234.7153, -235.8139, -237.3703, -230.8396, -241.2461, -228.154, -448.2163, -231.8467, -225.6516, -242.6804, -229.0085, -214.3906, -225.6516, -234.9595, -237.3703, -243.779, -223.7595, -233.4336, -239.2624, -234.1355, -220.8909, -234.0134, -240.7578, -221.135, -232.7927, -244.603, -225.9873, -231.4499, -229.3137, -236.4243, -232.3044, -233.22, -241.2461, -232.7622, -237.3703, -226.7197, -238.8962, -231.3889, -238.3164, -226.1399, 
0.0004, -241.9785, -239.5371, -200.8713, -227.4216, -239.2319, -227.7878, -239.2319, -235.3867, -236.76, -226.3535, -237.3703, -452.2141, -233.8913, -221.7148, -227.7878, -237.0957, -214.5737, -235.6614, -228.0014, -241.0019, -223.6985, -233.9829, -237.4619, -238.8047, -232.5486, -234.7153, -246.7392, -232.5791, -225.2854, -236.3327, -240.6662, -230.7785, -240.8799, -235.051, -232.6401, -239.3845, -236.7295, -234.7153, -230.8396, -239.7812, -230.9922, -242.1921, -234.3796, -227.2995, -228.8254, 
0.00042, -247.258, -226.0178, -199.2844, -222.1421, -232.5181, -223.5764, -234.7764, -246.6477, -227.3301, -222.5998, -229.0085, -444.0659, -238.9267, -233.7082, -237.2788, -235.3257, -217.2593, -234.3186, -212.1933, -237.5229, -223.9426, -241.7344, -231.5415, -237.0347, -231.9993, -243.9621, -233.22, -230.2598, -236.7905, -239.5981, -227.5437, -237.4009, -248.3262, -226.2314, -231.2668, -247.7768, -237.8586, -232.4875, -228.7644, -222.5693, -233.1284, -230.5039, -233.9219, -238.9267, -239.9643, 
0.00044, -237.4619, -229.4663, -205.0522, -228.9475, -225.1328, -236.5464, -223.8511, -230.4734, -226.2925, -234.8069, -222.6304, -450.1084, -233.281, -238.9878, -230.9006, -222.6914, -208.5923, -227.8489, -224.7361, -231.6025, -238.469, -232.8843, -216.4658, -238.5605, -231.511, -237.2788, -229.6799, -236.8821, -230.7175, -227.6352, -223.6985, -223.3933, -233.9524, -236.9126, -229.1306, -236.9431, -230.0766, -224.7361, -235.1426, -232.6401, -235.3562, -217.6865, -239.5066, -235.5088, -236.9736, 
0.00046, -246.9223, -220.8298, -204.625, -243.2297, -221.2571, -228.7949, -231.9382, -233.0979, -232.4265, -236.0276, -236.1802, -454.0146, -227.1775, -232.1518, -232.7622, -236.6684, -198.9792, -230.626, -228.3371, -233.281, -234.5932, -224.8276, -220.6467, -241.6733, -231.5415, -240.6968, -244.0842, -234.7153, -220.3721, -226.7502, -221.8064, -228.0625, -220.7077, -228.3982, -223.9426, -229.7715, -236.76, -232.2434, -225.1938, -230.4429, -226.1704, -238.0112, -233.342, -225.3159, -224.6445, 
0.00048, -239.8118, -233.7693, -203.4043, -239.354, -231.9382, -239.0488, -230.4734, -234.3796, -232.396, -238.1638, -251.3779, -447.789, -243.0771, -218.1138, -238.7436, -243.0161, -210.9116, -227.2995, -239.6286, -243.779, -234.5627, -238.6521, -236.9431, -230.7785, -227.7878, -232.8537, -237.9197, -232.7012, -231.3584, -229.3747, -226.7197, -238.1943, -234.227, -211.8271, -230.1377, -232.6401, -238.4995, -239.5371, -226.9333, -232.7622, -221.5012, -230.5039, -234.2881, -222.5998, -227.7878, 
0.0005, -224.1868, -248.5093, -211.4609, -232.7012, -241.6123, -236.9431, -234.7764, -228.7644, -227.8794, -232.6706, -223.5459, -439.5493, -223.6985, -228.4287, -236.4548, -242.5278, -215.3977, -228.1846, -236.7905, -236.7905, -244.5725, -234.7153, -231.3279, -236.2107, -226.4451, -240.2695, -241.2766, -220.5857, -234.9595, -232.4265, -237.4619, -226.9028, -235.1426, -228.1235, -228.9475, -236.2107, -233.8913, -239.293, -232.4265, -239.293, -230.6565, -227.3301, -223.4848, -235.3562, -241.7649, 
0.00052, -230.4734, -235.4477, -212.2239, -239.5066, -225.4075, -229.863, -231.0837, -215.1841, -221.9285, -235.4783, -237.5229, -440.0681, -212.6816, -234.0744, -234.6238, -231.633, -220.8298, -225.5906, -220.5857, -236.1191, -229.1611, -243.8706, -228.1235, -219.365, -229.6494, -245.6406, -229.039, -224.0647, -237.5229, -232.5791, -227.1164, -223.3323, -230.8701, -234.0439, -229.6799, -233.8913, -230.8396, -236.7905, -229.0085, -233.22, -229.9241, -220.9824, -220.0058, -227.4827, -235.6003, 
0.00054, -225.4685, -233.342, -205.0217, -239.8423, -223.3628, -239.2624, -229.1306, -224.675, -220.8909, -245.8237, -244.1147, -455.571, -224.5835, -239.4761, -230.2903, -234.105, -209.9656, -226.2619, -229.5884, -222.966, -219.3955, -233.281, -233.342, -225.6821, -239.3235, -234.6848, -215.9775, -233.342, -248.2346, -235.2952, -219.0903, -236.0886, -235.7224, -228.7034, -222.1116, -216.0386, -227.5437, -243.2297, -221.1045, -237.6145, -222.9355, -227.9099, -241.948, -240.2695, -227.3606, 
