Sweep Start (s), 52.00926, 52.1731, 52.33694, 52.50078, 52.66462, 52.82846, 52.9923, 53.15614, 53.31998, 53.48382, 53.64766, 53.8115, 53.97534, 54.13918, 54.30302, 54.46686, 54.6307, 54.79454, 54.95838, 55.12222, 55.28606, 55.4499, 55.61374, 55.77758, 55.94142, 56.10526, 56.2691, 56.43294, 56.59678, 56.76062, 56.92446, 57.0883, 57.25214, 57.41598, 57.57982, 57.74366, 57.9075, 58.07134, 58.23518, 58.39902, 58.56286, 58.7267, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, Sweep #5, Sweep #6, Sweep #7, Sweep #8, Sweep #9, Sweep #10, Sweep #11, Sweep #12, Sweep #13, Sweep #14, Sweep #15, Sweep #16, Sweep #17, Sweep #18, Sweep #19, Sweep #20, Sweep #21, Sweep #22, Sweep #23, Sweep #24, Sweep #25, Sweep #26, Sweep #27, Sweep #28, Sweep #29, Sweep #30, Sweep #31, Sweep #32, Sweep #33, Sweep #34, Sweep #35, Sweep #36, Sweep #37, Sweep #38, Sweep #39, Sweep #40, Sweep #41, Sweep #42, 
0.00036, -454.9912, -235.3867, -234.1965, -240.5747, -244.2673, -229.0696, -246.9834, -455.1438, -232.3044, -235.0815, -246.2204, -191.1667, -231.9687, -245.6406, -223.4543, -444.188, -461.5525, -447.1482, -173.4971, -206.2119, -217.1372, -237.4924, -231.1142, -226.2619, -238.8657, -231.511, -223.0271, -226.9639, -228.3066, -216.8015, -226.9333, -213.3225, -227.6658, -237.0041, -220.9824, -234.1355, -215.9165, -218.3579, -233.8303, -202.5498, -226.5671, -230.5344, 
0.00038, -453.5263, -232.0908, -214.6958, -250.2182, -239.0488, -227.6352, -229.0696, -457.4631, -237.4314, -243.4128, -237.3398, -211.0947, -232.0908, -263.9817, -216.2522, -448.1247, -463.9328, -446.6294, -167.8818, -200.0168, -218.3579, -237.4009, -230.1682, -217.4729, -219.9753, -232.9148, -223.9121, -241.948, -211.3083, -218.9682, -230.2292, -222.6304, -237.9197, -233.7388, -234.6543, -240.7273, -215.8555, -217.4118, -243.718, -208.1955, -226.5671, -243.1992, 
0.0004, -459.4773, -235.0815, -233.0063, -244.8472, -252.0493, -239.6286, -243.4739, -451.3901, -233.4031, -228.8559, -235.1731, -211.1557, -238.4079, -240.0559, -226.9639, -448.8266, -454.747, -452.3667, -169.7129, -213.6277, -221.4402, -233.22, -223.1186, -236.821, -221.1045, -230.2598, -221.1045, -243.6264, -206.7612, -215.3061, -240.178, -231.4805, -234.7458, -230.4429, -229.5578, -236.0276, -223.5764, -238.4079, -236.1496, -193.9133, -233.5556, -237.6755, 
0.00042, -461.1252, -239.2624, -246.373, -226.5061, -243.7485, -230.1377, -234.8069, -449.5285, -229.2222, -232.6706, -228.5813, -195.4087, -219.4565, -230.3818, -242.2837, -459.0805, -449.2844, -453.2822, -175.8164, -211.8882, -214.9704, -225.1328, -226.5366, -240.5137, -230.1072, -231.9687, -214.6042, -234.7153, -216.5879, -212.3459, -231.3279, -219.9448, -236.9431, -226.6282, -220.2195, -239.6286, -210.7895, -246.0984, -234.8984, -214.1465, -241.1545, -235.6614, 
0.00044, -456.0593, -219.6702, -243.9316, -232.1824, -233.8608, -227.6963, -225.1938, -455.4489, -233.7082, -236.2107, -227.7878, -211.1863, -224.614, -238.8047, -245.2134, -454.9301, -440.4343, -455.3574, -180.8518, -211.1252, -204.2893, -238.469, -234.3796, -240.4831, -232.3655, -238.6216, -197.2702, -239.2319, -216.9541, -216.4048, -230.0766, -212.8952, -237.5535, -220.2195, -222.9355, -230.1987, -219.9753, -233.3725, -233.5251, -209.935, -240.0559, -223.3323, 
0.00046, -462.7121, -226.2619, -248.3262, -238.0112, -240.8188, -245.9153, -233.6167, -446.2021, -234.8679, -234.0439, -232.2434, -202.2751, -230.2292, -247.3496, -245.3049, -461.7356, -460.3318, -457.28, -166.6916, -204.6555, -199.6201, -236.6379, -236.8821, -244.2063, -238.3469, -216.1301, -201.6953, -233.0063, -202.5498, -210.4844, -236.6379, -209.6299, -228.1235, -227.9709, -239.8728, -224.9802, -219.6396, -245.2744, -240.4526, -210.0876, -237.584, -210.4538, 
0.00048, -459.5688, -240.4221, -241.6123, -238.0417, -228.4592, -242.3752, -248.5093, -452.4887, -232.3349, -233.7082, -231.8467, -204.6555, -231.6025, -243.4433, -226.5366, -453.0686, -457.5547, -453.2212, -168.0039, -188.4812, -211.0642, -234.99, -241.9175, -238.3469, -234.105, -234.5932, -212.1323, -236.5769, -204.0452, -233.4031, -236.8515, -225.6211, -221.5317, -229.0085, -231.8161, -226.384, -210.759, -240.3916, -235.6308, -213.9939, -240.5747, -212.8342, 
0.0005, -452.977, -239.7812, -228.3371, -224.7666, -231.4499, -236.1802, -227.0554, -457.5852, -237.706, -239.4761, -235.7224, -212.1628, -241.7344, -235.4172, -220.8909, -460.4843, -445.5002, -448.3689, -179.2344, -209.1721, -228.6118, -224.2783, -237.0652, -227.3911, -224.3699, -252.7817, -208.8974, -239.1098, -219.6396, -234.5627, -232.1213, -232.4875, -225.0718, -226.6892, -235.3257, -237.645, -217.3508, -234.6848, -253.27, -223.7595, -230.1682, -207.219, 
0.00052, -453.6789, -241.9785, -227.3301, -238.8047, -240.4221, -246.0373, -234.8374, -453.5569, -245.7627, -230.748, -227.6963, -204.1977, -237.7976, -239.2624, -234.4407, -452.0005, -448.7656, -443.8217, -174.7178, -205.9678, -244.3284, -230.7175, -225.1938, -229.6494, -220.7077, -229.4968, -203.1907, -231.0532, -213.6277, -233.5251, -237.4314, -230.4734, -234.2881, -230.0461, -234.2881, -235.1731, -205.0827, -229.039, -242.9856, -241.4902, -228.7644, -205.7847, 
0.00054, -463.2614, -234.4712, -237.8586, -238.9878, -243.1992, -230.1377, -233.0979, -454.4113, -235.6919, -234.3491, -241.5207, -205.571, -226.5976, -236.3938, -240.7578, -455.8152, -460.3928, -432.2556, -178.2273, -207.9209, -243.8096, -230.0156, -242.6499, -243.1687, -215.7639, -229.4053, -203.3738, -231.7551, -219.1819, -231.9077, -243.0771, -221.6538, -246.312, -239.293, -235.2952, -239.1098, -209.7519, -233.1894, -229.2222, -222.7829, -230.5954, -222.4778, 
