Sweep Start (s), 52.00926, 52.1731, 52.33694, 52.50078, 52.66462, 52.82846, 52.9923, 53.15614, 53.31998, 53.48382, 53.64766, 53.8115, 53.97534, 54.13918, 54.30302, 54.46686, 54.6307, 54.79454, 54.95838, 55.12222, 55.28606, 55.4499, 55.61374, 55.77758, 55.94142, 56.10526, 56.2691, 56.43294, 56.59678, 56.76062, 56.92446, 57.0883, 57.25214, 57.41598, 57.57982, 57.74366, 57.9075, 58.07134, 58.23518, 58.39902, 58.56286, 58.7267, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, Sweep #5, Sweep #6, Sweep #7, Sweep #8, Sweep #9, Sweep #10, Sweep #11, Sweep #12, Sweep #13, Sweep #14, Sweep #15, Sweep #16, Sweep #17, Sweep #18, Sweep #19, Sweep #20, Sweep #21, Sweep #22, Sweep #23, Sweep #24, Sweep #25, Sweep #26, Sweep #27, Sweep #28, Sweep #29, Sweep #30, Sweep #31, Sweep #32, Sweep #33, Sweep #34, Sweep #35, Sweep #36, Sweep #37, Sweep #38, Sweep #39, Sweep #40, Sweep #41, Sweep #42, 
0.089, -236.3022, -243.7485, -234.99, -208.0124, -224.3088, -228.3371, -454.5334, -248.2346, -233.2505, -243.2297, -229.5884, -241.0935, -236.4853, -213.0478, -231.3889, -446.4463, -453.6789, -461.9797, -212.3764, -233.7082, -184.3003, -206.9748, -233.4641, -239.9338, -220.0058, -236.9431, -205.8152, -242.0395, -225.4685, -241.948, -236.5464, -234.8679, -233.4031, -222.2336, -234.8069, -237.7976, -235.6919, -238.9878, -231.9077, -241.063, -190.9531, -233.22, 
0.08902, -236.1802, -234.2881, -229.7104, -224.2173, -225.0718, -242.6804, -453.8925, -233.7388, -219.9143, -227.6658, -238.7131, -238.9267, -223.6374, -219.4565, -224.3699, -465.7944, -465.0925, -451.9089, -206.334, -234.4407, -203.1296, -203.9536, -233.5862, -240.5137, -222.4167, -232.7927, -213.0784, -233.5556, -235.0205, -234.9289, -236.0276, -235.2036, -240.7883, -231.9077, -234.2881, -234.5322, -227.3606, -233.7082, -226.4756, -245.0608, -190.2207, -234.8679, 
0.08904, -239.2014, -233.7693, -238.4079, -232.4875, -238.3164, -238.6521, -442.4179, -231.9382, -229.5578, -232.3349, -238.0112, -237.3093, -235.7224, -221.8369, -239.0488, -464.7263, -459.05, -450.7187, -212.4985, -231.6636, -187.7488, -208.9585, -217.7781, -222.905, -234.1355, -240.1169, -214.4822, -232.9758, -232.9758, -230.0766, -226.384, -241.8564, -229.1611, -222.2031, -238.8047, -236.5769, -224.675, -231.2973, -226.7197, -242.772, -194.2795, -231.4805, 
0.08906, -238.0112, -224.4004, -238.1638, -236.699, -241.0325, -230.7785, -451.146, -231.8161, -237.7671, -235.6003, -235.3562, -234.105, -237.8891, -211.644, -249.0281, -462.3764, -456.2119, -462.1323, -217.1982, -236.2412, -188.2065, -205.8457, -221.6843, -216.4353, -235.0815, -238.7131, -212.0408, -243.0466, -248.3872, -230.9617, -222.081, -241.4597, -222.2336, -237.0041, -237.6145, -242.1921, -237.9807, -230.9617, -218.1443, -243.0771, -194.31, -247.1665, 
0.08908, -236.6684, -230.4429, -240.9104, -240.6968, -241.6123, -229.2527, -442.6621, -243.5959, -236.7905, -232.2739, -234.4407, -219.0903, -243.9621, -217.8696, -233.3115, -447.1482, -448.9792, -448.2163, -221.8674, -229.0696, -191.8992, -202.3972, -222.2947, -239.2624, -220.3721, -242.4973, -201.1155, -240.7883, -248.0515, -233.6167, -229.5884, -241.7038, -228.154, -243.0466, -227.8183, -228.032, -249.9436, -222.081, -226.7197, -224.2173, -190.8005, -243.5654, 
0.0891, -233.9219, -228.7339, -228.9475, -249.6994, -234.9289, -235.2341, -453.2212, -235.0815, -233.8303, -242.4363, -226.5976, -234.227, -243.779, -203.4043, -219.0903, -465.5808, -456.456, -446.5073, -227.269, -225.1633, -195.5002, -213.5666, -224.0036, -244.1452, -222.0505, -233.7998, -208.3786, -246.2815, -246.7087, -224.5835, -236.1191, -232.8232, -225.6211, -238.5605, -229.5273, -225.7737, -236.1496, -225.56, -238.5605, -234.166, -198.3689, -228.4897, 
0.08912, -235.9971, -232.9148, -242.3752, -236.6684, -234.1965, -219.5481, -453.3432, -230.2292, -234.5932, -218.0527, -234.7764, -239.9643, -234.6848, -207.6157, -226.2314, -466.8625, -460.4538, -443.8828, -204.4724, -239.415, -202.5498, -216.832, -242.7414, -232.0298, -226.4756, -233.7998, -217.9917, -241.8259, -236.4853, -233.4336, -219.9753, -228.3982, -214.1465, -226.6892, -228.978, -231.4194, -224.2478, -229.0696, -249.0281, -233.7388, -210.7895, -229.3442, 
0.08914, -237.0041, -230.6565, -245.0303, -228.093, -238.2554, -224.675, -452.1836, -229.1001, -241.5818, -235.1731, -229.802, -227.7573, -238.0723, -215.0315, -232.4265, -456.456, -459.5383, -465.0925, -205.6321, -235.8139, -189.946, -222.4473, -240.2085, -236.4548, -232.7317, -229.2222, -225.4685, -242.0701, -237.0347, -238.8047, -228.917, -236.3327, -234.8069, -228.5508, -245.3965, -246.0068, -227.5742, -228.2761, -240.4221, -234.4101, -197.4534, -227.9099, 
0.08916, -236.5769, -222.4167, -217.2287, -242.4973, -242.009, -223.1797, -454.1977, -236.1496, -232.2739, -238.8962, -227.4216, -233.9829, -231.9993, -215.3367, -232.9148, -451.0544, -466.7099, -464.0854, -211.3083, -234.1355, -188.237, -195.1035, -220.4026, -247.9294, -232.7012, -238.7436, -199.8032, -230.9922, -233.0063, -229.9546, -239.3235, -228.3371, -237.8586, -244.4809, -245.1523, -241.4597, -243.6875, -240.0864, -231.3584, -228.917, -203.7095, -259.2209, 
0.08918, -239.8118, -226.4145, -196.2937, -250.3708, -225.9568, -232.1518, -447.5449, -239.9643, -229.3442, -235.112, -238.8657, -238.5605, -231.2973, -216.3743, -232.3044, -453.0991, -465.886, -450.6272, -213.4751, -241.9785, -188.237, -209.2942, -236.3633, -241.5513, -231.4194, -234.2576, -204.8996, -227.8794, -231.7856, -236.7905, -237.1262, -231.0227, -225.1328, -225.0718, -226.5976, -238.8047, -251.0422, -239.6592, -225.2854, -232.2129, -198.0942, -238.9878, 
0.0892, -239.9949, -237.7671, -214.7263, -232.8843, -204.2588, -235.7224, -449.5896, -226.9639, -238.0723, -237.2483, -229.9241, -235.875, -228.8254, -222.905, -238.4385, -448.6435, -459.2331, -454.5334, -206.2424, -236.5769, -190.6785, -201.6343, -239.6286, -237.1872, -236.3327, -218.0527, -215.0925, -231.7856, -232.7012, -241.4902, -235.1426, -220.4026, -241.0325, -218.9682, -239.6286, -240.0254, -233.4031, -244.664, -226.4451, -226.2009, -195.3782, -241.1545, 
0.08922, -237.8281, -219.3039, -222.9355, -235.2646, -185.3074, -233.5862, -453.7705, -239.1404, -246.3425, -231.9382, -224.5224, -237.7366, -234.1355, -226.1704, -232.2129, -462.468, -456.5171, -448.613, -206.7307, -227.147, -205.9067, -210.1181, -241.8869, -237.3398, -243.4128, -237.3703, -230.8701, -245.7932, -237.5229, -236.4548, -231.633, -232.6706, -228.3982, -222.4778, -233.5251, -225.7431, -241.8259, -247.136, -208.4702, -234.5017, -188.2676, -232.3349, 
0.08924, -224.3699, -213.5666, -209.7519, -246.3425, -184.3308, -239.2319, -451.5122, -230.2292, -235.2036, -234.7153, -235.4172, -236.76, -234.6238, -211.3694, -233.6472, -460.7895, -462.0713, -459.4773, -229.9546, -235.2036, -195.3171, -213.0173, -237.4924, -248.7229, -234.1965, -242.6499, -227.0859, -240.8493, -233.6777, -231.6636, -231.511, -241.3681, -226.6282, -229.7104, -223.8205, -233.9524, -238.4079, -230.0461, -211.2778, -246.1594, -211.4609, -224.0647, 
0.08926, -234.7764, -218.1138, -202.3362, -233.0063, -200.5661, -232.2129, -448.613, -238.8047, -235.6919, -233.3115, -243.8096, -228.4897, -234.0439, -221.2571, -227.5742, -458.2566, -448.3078, -468.1443, -239.3235, -229.2222, -205.0217, -205.51, -237.5535, -242.009, -221.5622, -232.9758, -233.1894, -237.9197, -247.2275, -231.8467, -240.4831, -231.8161, -231.3889, -230.6565, -231.8772, -227.8183, -229.7104, -237.2788, -223.8511, -245.488, -212.8647, -226.0178, 
0.08928, -228.4287, -210.6369, -214.9704, -218.7546, -188.3591, -226.7807, -454.5945, -239.5981, -239.5371, -227.8183, -230.4734, -227.6047, -246.0068, -211.4609, -216.8931, -446.6599, -453.5874, -461.9797, -242.0701, -226.7197, -202.7024, -203.2517, -235.8139, -233.22, -227.7878, -237.6755, -239.0488, -245.2134, -240.4221, -233.342, -243.0161, -227.7573, -235.2952, -235.5393, -232.7317, -244.0537, -230.9006, -235.5698, -239.9338, -241.1545, -203.8926, -232.1518, 
0.0893, -230.5954, -212.8342, -215.9165, -235.6614, -188.176, -216.9236, -456.5171, -236.3327, -233.0063, -228.032, -236.1496, -235.3257, -243.0161, -224.7361, -209.05, -447.8195, -448.4299, -451.5732, -228.032, -238.9573, -214.7873, -204.3503, -245.1828, -222.0505, -238.8352, -235.2036, -245.7016, -240.3306, -231.7246, -247.8379, -226.4451, -238.53, -229.8935, -231.3279, -242.9245, -243.1077, -237.4619, -222.6914, -233.4031, -245.2744, -213.5056, -233.4641, 
0.08932, -247.4106, -208.7754, -206.6697, -234.227, -189.061, -234.9595, -453.6484, -230.8396, -232.0298, -239.7202, -236.1496, -241.2461, -230.4429, -224.9802, -202.9465, -468.6325, -445.5612, -445.2561, -234.9289, -236.0581, -213.2004, -202.3056, -241.3681, -234.5627, -221.8979, -247.8989, -232.7622, -227.5742, -230.9006, -240.6662, -223.6374, -237.7671, -228.8559, -242.6804, -232.396, -241.8869, -233.6167, -234.5932, -222.2031, -230.3208, -208.5923, -236.5769, 
0.08934, -238.9267, -215.6113, -200.6882, -229.5884, -186.2839, -231.572, -460.759, -232.396, -234.6848, -234.0439, -230.0156, -222.8135, -227.7573, -223.5154, -197.4839, -464.1159, -452.2751, -458.1345, -226.2619, -236.7905, -204.2893, -208.4092, -232.2129, -237.8281, -226.7502, -250.5234, -230.8701, -231.6636, -245.8848, -230.2292, -218.0222, -229.9851, -233.9829, -234.2881, -229.2527, -231.572, -231.4499, -229.4663, -225.0718, -230.2903, -192.5095, -229.9851, 
0.08936, -229.1916, -210.3623, -209.05, -231.8772, -178.0442, -220.7688, -444.4321, -236.6684, -246.1594, -238.7742, -239.6592, -242.1311, -229.863, -209.8435, -206.395, -458.1345, -455.2353, -465.0009, -225.5906, -240.5747, -209.9045, -205.3879, -231.5415, -246.6477, -234.5932, -229.9546, -232.5791, -237.9502, -237.4924, -230.7785, -232.8843, -235.5088, -238.6521, -228.6118, -236.7905, -241.3987, -227.3911, -236.6074, -233.4336, -228.7034, -196.7209, -235.9665, 
0.08938, -223.3323, -211.3999, -216.3743, -222.8745, -186.2534, -230.4123, -437.8403, -229.2527, -239.6897, -233.9829, -221.135, -247.9905, -232.3349, -213.0478, -220.0669, -447.8195, -460.2097, -452.6413, -236.9736, -243.1382, -219.3955, -207.8598, -235.5393, -244.0842, -223.0576, -237.2483, -242.2226, -240.7578, -236.5769, -241.5513, -233.1284, -222.6609, -234.7153, -231.9382, -240.0559, -237.8586, -235.3867, -228.8865, -237.4009, -232.5486, -193.1504, -245.2439, 
0.0894, -235.4477, -206.6086, -208.8974, -235.7224, -188.5422, -224.5224, -450.6577, -231.8772, -232.7622, -217.1677, -232.6096, -233.8608, -228.1846, -224.3699, -235.8139, -455.1743, -457.8598, -457.7988, -229.9241, -235.0205, -207.219, -199.0708, -236.7295, -235.051, -235.6614, -229.6799, -238.2248, -234.0134, -243.2297, -242.6804, -231.5415, -229.0696, -242.7109, -227.6352, -234.6848, -214.5737, -230.748, -234.0439, -247.7158, -239.5981, -195.3476, -230.5649, 
0.08942, -240.3, -205.9067, -211.1863, -229.4053, -204.9912, -216.1911, -455.1743, -232.9758, -226.7502, -218.5105, -247.7768, -232.6401, -232.8843, -218.9682, -231.3584, -466.6489, -439.3967, -459.5383, -235.3257, -235.1426, -226.9333, -203.1907, -247.5632, -234.9289, -230.2292, -224.675, -237.706, -250.0046, -236.5159, -244.1758, -231.511, -245.4575, -229.5273, -227.8794, -237.6755, -225.7431, -242.4057, -229.5578, -248.6618, -248.082, -195.7444, -239.5066, 
0.08944, -230.0461, -236.0276, -223.0881, -240.5442, -231.9077, -240.0254, -446.2021, -228.4897, -222.4473, -241.4902, -235.9665, -234.1355, -233.9524, -222.7829, -235.7224, -457.6462, -436.3144, -459.6299, -239.9338, -243.0466, -224.3393, -211.7966, -239.4761, -245.6406, -230.8091, -224.8276, -229.5273, -252.7512, -235.1426, -243.6875, -231.7246, -231.8772, -225.499, -236.9126, -231.2668, -238.3774, -234.7764, -216.0386, -235.3867, -236.5769, -196.0801, -247.7158, 
0.08946, -241.2156, -234.99, -214.4211, -234.7153, -243.779, -219.426, -454.3808, -238.2248, -227.6963, -238.2248, -232.8843, -242.6804, -240.5442, -221.7148, -231.3584, -449.6811, -456.5781, -457.0359, -238.3774, -242.3447, -221.9895, -213.1699, -238.6216, -235.6919, -217.9917, -233.4336, -234.8984, -232.9758, -245.2134, -223.729, -228.4287, -230.3208, -246.4951, -232.0298, -228.154, -236.9126, -228.9475, -231.6636, -238.2859, -230.9006, -186.3755, -233.3725, 
0.08948, -246.6782, -236.2717, -206.0288, -226.0788, -227.5742, -227.147, -444.3711, -227.5742, -236.9736, -237.0957, -227.7573, -231.572, -242.009, -204.2283, -229.9851, -460.1792, -466.5573, -456.395, -231.4805, -235.0205, -216.1606, -213.7192, -245.1218, -240.3916, -207.7073, -206.4866, -226.9333, -226.4451, -233.9524, -241.0019, -217.8391, -228.8865, -231.0532, -234.5932, -226.5061, -242.4668, -246.6782, -243.779, -250.5845, -234.2576, -204.7471, -234.7458, 
0.0895, -253.9719, -235.0205, -206.7917, -243.9621, -242.9856, -239.5371, -448.7046, -237.4619, -249.7605, -233.4946, -236.3022, -237.6755, -229.2527, -203.801, -247.7768, -453.801, -443.0893, -466.5879, -230.748, -219.7312, -202.4582, -223.5154, -231.0837, -234.99, -236.3633, -195.4087, -228.3677, -232.8232, -240.6357, -244.2673, -216.0691, -238.6521, -241.9785, -238.6216, -223.8205, -236.9431, -235.6919, -223.9731, -236.7295, -238.1943, -203.6789, -239.3235, 
0.08952, -228.8254, -232.2739, -210.6675, -244.7861, -249.3638, -235.2646, -454.8081, -236.699, -250.615, -228.1846, -238.2859, -243.2602, -227.3911, -222.6609, -241.7344, -454.8691, -452.8549, -459.813, -237.7671, -219.3345, -213.3835, -217.7475, -227.0554, -241.6123, -241.9175, -207.0664, -231.6025, -232.1518, -228.3982, -223.5154, -223.6069, -240.6662, -227.5742, -232.5791, -231.7856, -228.5202, -234.6543, -214.8789, -232.3044, -232.3349, -193.1199, -231.6636, 
0.08954, -221.5317, -239.4761, -208.8974, -236.8821, -242.6804, -230.2598, -439.6714, -238.7131, -224.553, -234.8984, -229.1611, -245.2744, -227.3301, -211.3999, -233.1589, -461.0642, -450.1694, -456.0593, -236.9431, -227.6047, -217.1677, -215.0925, -230.9617, -230.8091, -232.2434, -208.4702, -227.9099, -235.6919, -224.7056, -233.0368, -221.196, -242.9245, -239.7507, -234.6848, -241.8564, -241.2461, -241.3987, -242.9856, -226.323, -229.8935, -181.0959, -234.7153, 
0.08956, -244.7251, -228.4897, -210.1487, -245.5185, -231.8467, -225.3769, -458.6533, -232.9758, -236.3938, -220.3721, -229.2527, -230.1377, -229.8325, -214.9399, -235.7529, -448.7961, -445.0119, -461.0031, -222.9355, -244.603, -205.8762, -226.4145, -231.2058, -215.062, -237.6145, -201.7258, -237.5229, -230.9617, -231.1448, -231.2973, -223.9121, -215.0315, -222.5388, -233.4336, -239.7202, -238.2248, -234.7764, -244.542, -240.2085, -235.2952, -212.2239, -234.5627, 
0.08958, -238.4385, -227.9709, -224.2173, -241.5513, -219.3955, -223.3628, -473.0271, -225.1633, -233.9219, -227.1164, -230.7785, -228.4287, -241.063, -219.7312, -230.8701, -461.0337, -452.4887, -459.6909, -233.4946, -237.4619, -213.353, -239.3845, -234.1965, -211.3999, -229.6494, -194.8594, -244.6946, -233.4031, -232.6096, -243.9621, -215.5503, -231.6941, -231.0532, -224.0342, -240.6052, -237.5229, -232.9453, -239.5981, -235.1426, -218.9377, -213.6277, -235.112, 
0.0896, -233.8303, -235.6308, -220.0669, -242.0395, -226.6282, -238.2554, -461.2168, -242.0701, -237.6145, -237.0957, -234.4407, -241.2156, -239.5676, -212.2849, -235.2036, -459.7519, -460.8506, -463.5056, -236.0886, -227.7878, -214.5127, -233.7693, -228.0014, -203.6484, -236.8515, -195.8054, -228.093, -236.6379, -232.3655, -243.8401, -200.2915, -232.2434, -232.2129, -234.0134, -246.2204, -232.2129, -229.5578, -226.2314, -219.8533, -233.6472, -208.8059, -236.7295, 
0.08962, -252.5986, -239.8423, -202.0615, -238.9573, -243.1077, -239.5981, -447.3008, -235.5088, -235.4477, -230.5344, -237.4314, -242.4363, -232.3349, -213.1089, -230.2292, -464.7568, -453.9536, -455.7846, -224.2173, -225.5295, -214.0244, -248.0515, -235.875, -210.5454, -239.2624, -209.4162, -233.7998, -242.1311, -236.2717, -235.3257, -210.698, -227.208, -241.7344, -231.0227, -228.032, -238.53, -237.4314, -220.7077, -231.6636, -246.1899, -209.6299, -244.9387, 
0.08964, -227.1164, -236.1802, -201.5732, -238.8047, -249.6689, -229.9241, -442.0517, -231.1448, -229.802, -240.8188, -238.3469, -228.8865, -240.7578, -212.1628, -227.5132, -442.8452, -445.134, -453.1296, -255.1011, -227.5742, -227.8794, -236.9126, -232.8232, -222.7524, -231.7246, -198.6741, -245.6711, -231.0227, -234.5017, -236.8821, -227.147, -229.039, -234.3796, -236.4243, -231.2668, -224.8581, -238.7742, -239.4761, -237.584, -238.1028, -209.4162, -240.6052, 
0.08966, -222.2947, -240.4831, -201.0239, -238.4995, -247.258, -233.3115, -457.4936, -244.664, -228.6423, -219.7922, -236.4853, -230.9922, -231.6025, -211.7356, -216.6184, -451.3291, -457.4326, -457.8904, -241.3987, -224.7361, -210.4538, -222.2031, -241.2156, -224.2783, -230.5039, -201.1765, -233.0063, -229.3442, -240.7578, -220.9214, -211.2778, -236.2717, -234.3186, -229.9241, -232.7317, -233.6777, -249.5469, -227.9404, -245.7627, -233.2505, -201.2681, -236.1802, 
0.08968, -236.2107, -235.8139, -206.395, -217.3203, -236.9736, -235.6614, -459.8435, -236.3327, -244.664, -238.6216, -228.917, -228.7034, -238.8352, -215.7029, -224.1257, -457.3105, -464.238, -461.1252, -229.863, -237.3398, -200.7798, -230.5344, -243.657, -237.1262, -233.0063, -213.9328, -220.8909, -244.603, -246.1594, -240.6052, -214.8179, -248.5093, -238.5605, -237.8586, -234.1965, -232.0908, -235.3562, -228.5508, -248.2956, -243.6875, -193.2419, -232.3044, 
0.0897, -231.1753, -235.3562, -228.8865, -200.9934, -246.1899, -224.3393, -449.0708, -234.9289, -224.3393, -228.3371, -234.166, -238.9267, -239.6592, -210.2707, -231.0227, -449.7116, -452.8549, -465.7639, -232.1824, -245.6711, -200.8408, -235.2646, -229.2832, -238.8352, -242.2532, -229.5273, -227.4827, -236.76, -231.2973, -252.9038, -226.5366, -231.0532, -229.3137, -232.9148, -239.3845, -238.469, -234.3796, -240.6357, -234.4712, -236.0581, -203.1296, -224.5224, 
0.08972, -221.8979, -241.9785, -216.1301, -218.3274, -260.0144, -232.7622, -452.7634, -233.6167, -221.8674, -225.2854, -241.3987, -235.6308, -238.6826, -220.2195, -233.7082, -455.2964, -443.425, -464.8178, -225.438, -237.0957, -207.6157, -246.8003, -212.8342, -239.7202, -239.3845, -228.917, -230.0766, -239.0183, -241.4292, -246.4951, -227.7268, -220.8603, -230.2292, -237.8586, -235.1731, -233.8608, -241.063, -239.9643, -234.3796, -232.2739, -214.6958, -230.687, 
0.08974, -224.3393, -231.6941, -196.2937, -211.583, -255.6504, -233.0979, -449.6811, -238.7742, -233.9524, -240.4831, -236.5159, -232.9148, -219.9448, -210.8506, -241.7344, -454.9912, -454.686, -455.2353, -230.6565, -239.415, -202.3667, -233.4641, -233.0063, -235.9971, -239.0793, -219.8533, -232.5486, -237.3398, -242.7109, -230.1682, -223.5764, -241.0935, -226.9333, -236.7905, -243.5654, -226.0178, -242.6499, -239.0183, -240.1474, -231.5415, -212.468, -240.6968, 
0.08976, -228.8254, -222.2641, -194.8288, -204.8996, -235.4477, -219.9448, -454.5945, -222.4473, -243.8401, -233.6777, -242.0395, -248.9975, -239.6286, -210.8811, -239.7202, -449.1623, -448.7961, -452.5803, -251.6831, -240.0254, -200.1694, -230.4734, -246.0984, -232.6706, -239.2319, -230.4123, -242.4363, -220.7383, -231.2058, -226.4451, -217.8086, -231.8467, -232.1213, -225.2243, -234.5932, -243.4739, -237.7671, -241.2461, -235.6919, -235.3257, -202.6108, -238.5605, 
0.08978, -231.8467, -221.6233, -201.6343, -211.8882, -231.9687, -235.0815, -450.9323, -221.2876, -234.7764, -224.3699, -248.3872, -237.8586, -247.0749, -226.1094, -236.5464, -451.6342, -454.7165, -452.0005, -243.5044, -235.3562, -174.0769, -233.0063, -242.1311, -233.9524, -238.0417, -235.3867, -232.0603, -236.4853, -240.8493, -231.9077, -216.4658, -239.0183, -235.5088, -218.8157, -236.0581, -239.5676, -233.5862, -230.1987, -243.1077, -224.2783, -201.3291, -233.0674, 
0.0898, -235.9055, -239.4455, -206.1509, -218.6631, -233.7693, -241.5513, -451.8784, -232.0298, -236.2107, -224.1562, -236.6684, -224.553, -239.1709, -221.7148, -234.7458, -460.7285, -452.8549, -452.7329, -233.8303, -239.0488, -197.8501, -229.039, -256.2302, -236.6684, -233.1284, -238.7742, -241.2156, -244.664, -237.8586, -235.4477, -217.4118, -218.0832, -232.8843, -235.0815, -233.9524, -232.396, -237.1872, -225.9873, -236.1802, -220.6162, -208.928, -211.4609, 
0.08982, -234.8679, -240.6357, -211.2168, -217.4118, -253.0259, -227.5437, -446.2326, -215.0925, -235.7529, -245.427, -219.0598, -220.2195, -237.6755, -219.0598, -235.5088, -456.9443, -454.2588, -467.5949, -240.0864, -240.2695, -208.4092, -217.4118, -236.4243, -246.7392, -225.1328, -238.4079, -225.3159, -234.4407, -239.5371, -244.5115, -216.4963, -207.6462, -231.572, -241.8259, -240.3611, -240.2085, -255.0095, -231.0837, -238.1638, -231.0227, -198.3994, -211.8271, 
0.08984, -224.0647, -246.7698, -212.4375, -229.8325, -218.1443, -234.8069, -451.2986, -231.3584, -232.457, -235.1731, -226.0483, -239.3845, -230.4734, -215.947, -238.1638, -464.5127, -452.7939, -448.613, -231.8772, -251.3169, -186.5281, -221.9285, -229.802, -227.3606, -231.5415, -232.8537, -230.0766, -229.7104, -228.8559, -228.8559, -231.6025, -231.572, -224.9802, -229.3747, -238.8047, -233.0674, -236.7905, -228.8254, -240.178, -237.0347, -204.5334, -227.5742, 
0.08986, -231.1448, -233.4946, -208.165, -237.9502, -228.2151, -234.6238, -444.8288, -238.7131, -231.5415, -226.384, -253.27, -238.3164, -234.0439, -226.384, -236.5464, -463.414, -460.7895, -453.862, -222.081, -240.2085, -175.4807, -235.9055, -230.9922, -242.5583, -228.3371, -239.354, -242.7414, -236.4853, -231.1753, -239.9338, -222.02, -240.4831, -230.3818, -230.3818, -234.4712, -237.8281, -234.227, -234.8984, -234.9289, -232.8843, -220.25, -204.3808, 
0.08988, -236.6684, -226.6892, -218.9682, -236.76, -245.8542, -235.7529, -448.0332, -219.6396, -225.5906, -231.4194, -240.4831, -239.7202, -242.6194, -217.2287, -244.9387, -454.5639, -458.226, -458.8974, -230.4429, -231.7551, -194.2795, -233.4641, -236.821, -235.5393, -232.4875, -231.1142, -239.5981, -245.3354, -232.9148, -238.7436, -222.1726, -238.1943, -234.4101, -242.5278, -237.9197, -241.185, -240.6662, -248.1125, -236.2107, -229.4053, -226.5366, -201.0239, 
0.0899, -230.8396, -229.2527, -217.9917, -237.1567, -239.2624, -237.5535, -450.9629, -249.852, -244.1452, -238.9267, -240.239, -235.2952, -234.105, -200.9324, -232.5486, -451.8174, -454.9607, -463.292, -235.4477, -221.5928, -192.6926, -238.6216, -231.0532, -227.0554, -231.3279, -233.342, -234.1355, -234.99, -233.3115, -233.9829, -219.3039, -223.1492, -242.7414, -231.2058, -238.0417, -229.7104, -240.5137, -243.8706, -228.4897, -223.1797, -204.6555, -216.0691, 
0.08992, -234.6543, -231.1753, -204.2283, -240.7273, -204.4114, -235.1731, -448.7046, -238.6826, -239.8728, -237.0957, -232.0298, -226.8113, -231.511, -225.438, -227.9404, -455.5405, -462.0102, -463.292, -236.9126, -231.5415, -180.0889, -232.6096, -229.1916, -242.9856, -233.2505, -239.0183, -239.5981, -241.0325, -244.2673, -234.2881, -216.3743, -237.9807, -221.959, -235.7224, -229.8935, -240.8799, -245.8542, -231.7551, -224.614, -245.8542, -213.2615, -215.8249, 
0.08994, -239.6592, -226.5976, -207.5852, -246.4951, -203.5264, -234.227, -447.0566, -225.1633, -227.1164, -230.2292, -229.7104, -224.1257, -234.99, -220.1279, -225.8347, -451.6037, -469.7617, -448.9487, -233.1894, -242.6499, -190.1597, -239.415, -230.4123, -237.6755, -228.3371, -239.2624, -244.3894, -242.833, -233.9524, -233.5251, -224.8581, -229.7715, -223.8511, -244.2673, -234.166, -233.5251, -228.4287, -232.4875, -229.4663, -248.1736, -201.146, -207.2495, 
0.08996, -233.3725, -225.2243, -205.1438, -238.8962, -217.9306, -228.032, -449.0097, -250.9812, -225.0718, -231.3889, -234.2576, -219.2734, -244.5115, -215.6418, -227.208, -454.1062, -451.2986, -457.5241, -239.5066, -237.4924, -188.9695, -217.3203, -224.5835, -245.7016, -241.8564, -238.7436, -244.7861, -233.3115, -231.3889, -233.7693, -226.7197, -227.6352, -241.0019, -226.6892, -237.1567, -240.5442, -237.2483, -239.6592, -239.5371, -244.5725, -201.8479, -207.9514, 
0.08998, -228.6118, -223.3017, -200.4441, -230.2903, -230.9006, -230.4429, -453.0075, -238.9878, -231.633, -246.3425, -243.0161, -221.0129, -238.1943, -219.4565, -228.4897, -451.7258, -463.7802, -456.0288, -235.051, -239.1098, -191.3498, -207.341, -228.978, -235.0815, -229.1611, -244.603, -235.6003, -217.2287, -238.8657, -229.039, -252.0188, -236.6379, -233.4946, -225.8347, -234.9595, -233.6167, -238.8352, -237.5229, -243.2602, -221.8369, -197.6975, -210.1487, 
0.09, -233.22, -231.1448, -203.5874, -231.9077, -228.5813, -238.3774, -441.5634, -228.6728, -224.8887, -236.7295, -235.6614, -229.9546, -243.8401, -221.074, -231.5415, -467.2287, -465.4587, -456.2424, -227.5437, -246.6172, -188.2065, -220.6772, -222.3862, -232.2739, -245.9153, -237.584, -230.0766, -208.928, -242.3142, -234.166, -246.8613, -232.5181, -230.4429, -247.4411, -242.8025, -224.3393, -234.4407, -245.6711, -240.0254, -228.5813, -208.7449, -212.468, 
0.09002, -239.4455, -237.1262, -208.2261, -244.4809, -236.76, -232.457, -459.9045, -224.614, -234.9289, -223.5154, -224.6445, -229.2832, -219.1514, -222.4473, -230.4123, -454.5639, -466.6489, -457.1579, -211.2168, -214.8484, -170.5063, -220.7688, -238.7131, -252.0188, -229.5273, -225.9568, -232.6706, -210.6369, -233.6777, -234.3796, -235.5393, -230.6565, -234.6238, -242.2532, -233.1284, -231.6941, -244.9692, -247.8379, -240.8799, -231.633, -201.9089, -235.4783, 
