Sweep Start (s), 23.90376, 24.0676, 24.23144, 24.39528, 24.55912, 24.72296, 24.8868, 25.05064, 25.21448, 25.37832, 25.54216, 25.706, 25.86984, 26.03368, 26.19752, 26.36136, 26.5252, 26.68904, 26.85288, 27.01672, 27.18056, 27.3444, 27.50824, 27.67208, 27.83592, 27.99976, 28.1636, 28.32744, 28.49128, 28.65512, 28.81896, 28.9828, 29.14664, 29.31048, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, Sweep #5, Sweep #6, Sweep #7, Sweep #8, Sweep #9, Sweep #10, Sweep #11, Sweep #12, Sweep #13, Sweep #14, Sweep #15, Sweep #16, Sweep #17, Sweep #18, Sweep #19, Sweep #20, Sweep #21, Sweep #22, Sweep #23, Sweep #24, Sweep #25, Sweep #26, Sweep #27, Sweep #28, Sweep #29, Sweep #30, Sweep #31, Sweep #32, Sweep #33, Sweep #34, 
0.00016, -458.226, -241.4902, -237.4009, -230.1682, -202.977, -223.7595, -227.5742, -240.2085, -228.2151, -229.6189, -235.2646, -451.8784, -234.3186, -236.3327, -243.779, -236.5464, -237.5535, -244.6335, -249.2112, -232.4265, -233.9829, -244.1147, -250.9507, -213.3835, -226.7807, -231.8161, -239.0793, -230.748, -244.1147, -241.3681, -231.2668, -234.4712, -227.6352, -230.5649, 
0.00018, -459.0805, -244.9082, -231.1753, -234.1965, -213.5056, -219.487, -233.4336, -244.5115, -235.112, -226.0178, -233.8913, -459.9655, -231.4805, -233.4336, -245.9763, -228.093, -245.3965, -243.2908, -244.8472, -238.9267, -227.8489, -241.0019, -232.1213, -206.7612, -217.3203, -233.5862, -249.9131, -236.699, -221.196, -234.5017, -242.9551, -230.5649, -229.8935, -225.5906, 
0.0002, -462.2849, -231.6025, -237.1872, -243.8401, -225.6211, -224.0647, -227.8183, -225.8347, -237.6755, -233.281, -231.6941, -447.6059, -233.1894, -233.342, -245.6711, -224.1257, -233.9829, -234.3491, -238.7436, -235.6919, -228.5813, -240.3916, -220.1584, -224.8887, -232.8843, -240.8188, -231.9077, -237.6145, -237.4619, -236.3633, -232.1518, -245.3965, -231.7246, -220.1279, 
0.00022, -463.8108, -238.469, -236.9736, -232.1518, -218.2663, -226.8723, -239.8423, -235.3562, -240.0559, -242.4363, -229.6494, -460.5454, -235.7224, -246.9834, -240.3, -237.1567, -231.4194, -229.4968, -231.3584, -223.5764, -240.1474, -242.5889, -226.1704, -234.99, -231.5415, -235.7224, -235.4783, -237.3398, -248.082, -244.2368, -226.6282, -232.1518, -224.1868, -222.1726, 
0.00024, -455.8762, -239.6286, -240.7883, -232.0298, -220.0364, -215.2146, -238.2554, -232.8537, -229.6189, -239.2319, -231.3889, -462.1933, -236.8821, -247.7768, -241.3987, -231.9077, -232.4875, -222.4473, -237.7366, -238.7436, -239.1709, -251.7441, -223.4238, -238.4079, -217.4424, -238.3469, -242.2226, -237.5535, -236.0886, -248.6618, -237.5535, -237.2483, -240.6662, -217.2593, 
0.00026, -448.674, -242.0701, -235.5393, -243.0161, -198.7656, -237.4924, -236.6684, -231.7551, -235.6614, -236.1802, -240.3916, -463.8718, -242.2532, -240.0559, -238.4995, -235.5393, -249.5774, -228.8865, -241.948, -233.0979, -239.415, -245.9458, -229.3747, -227.2995, -231.9382, -246.6477, -234.8984, -228.917, -227.9709, -239.0183, -245.9153, -241.8564, -242.009, -234.99, 
0.00028, -451.0544, -233.2505, -240.7273, -246.6172, -191.4109, -233.4336, -228.8254, -237.5229, -227.3911, -242.1311, -244.664, -450.1084, -233.1589, -233.6167, -235.9055, -224.6445, -245.366, -237.3703, -239.9033, -231.4194, -241.8869, -240.5747, -238.9267, -222.02, -231.9687, -243.5959, -236.4548, -230.2598, -242.3142, -229.8935, -244.3284, -235.3562, -245.0303, -231.1448, 
0.0003, -462.5901, -237.6755, -236.2412, -230.6565, -198.0027, -228.154, -241.3071, -239.2319, -237.6145, -241.9175, -240.4526, -456.6086, -226.8418, -241.8259, -230.4734, -236.0581, -247.5632, -234.166, -244.2978, -225.4685, -242.8025, -243.2602, -235.0815, -226.7197, -237.2483, -240.9104, -230.4123, -241.3071, -234.5627, -230.7175, -239.415, -229.4358, -251.4695, -213.7497, 
0.00032, -450.1389, -243.6875, -233.4031, -237.7366, -199.8032, -227.3301, -244.5115, -247.8684, -237.8586, -248.3872, -243.2297, -459.2026, -229.8935, -243.9316, -245.7322, -235.3562, -239.2319, -245.9153, -237.9197, -245.6101, -237.9502, -258.3664, -233.8303, -234.2881, -240.9714, -238.8047, -258.1528, -239.354, -232.6401, -233.22, -228.8559, -240.5747, -238.9573, -230.1072, 
0.00034, -448.8266, -245.7016, -238.9878, -232.6096, -198.9182, -226.6587, -250.2488, -244.3284, -225.8042, -249.3638, -226.0178, -456.6086, -243.2297, -231.4499, -233.1894, -239.8118, -232.1824, -233.5556, -222.5998, -250.2793, -244.8777, -258.1528, -233.6167, -246.8918, -246.7698, -229.4663, -236.5769, -254.0329, -229.1611, -240.0559, -233.6472, -236.6684, -244.2368, -241.0325, 
0.00036, -458.3481, -233.5862, -233.342, -232.7622, -200.5661, -224.4919, -240.2085, -234.0439, -230.7785, -234.0744, -235.2952, -459.1111, -227.1164, -232.8843, -233.22, -244.8472, -223.4543, -224.553, -247.9599, -232.2434, -238.3164, -238.6216, -232.3044, -241.8564, -234.7153, -229.7104, -222.4778, -233.1589, -235.1426, -232.9758, -237.6145, -239.293, -234.4712, -226.0178, 
