Sweep Start (s), 124.544, 124.7079, 124.8717, 125.0356, 125.1994, 125.3632, 125.5271, 125.6909, 125.8548, 126.0186, 126.1824, 126.3463, 126.5101, 126.674, 126.8378, 127.0016, 127.1655, 127.3293, 127.4932, 127.657, 127.8208, 127.9847, 128.1485, 128.3124, 128.4762, 128.64, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, Sweep #5, Sweep #6, Sweep #7, Sweep #8, Sweep #9, Sweep #10, Sweep #11, Sweep #12, Sweep #13, Sweep #14, Sweep #15, Sweep #16, Sweep #17, Sweep #18, Sweep #19, Sweep #20, Sweep #21, Sweep #22, Sweep #23, Sweep #24, Sweep #25, Sweep #26, 
0.0009, -438.2526, -201.192, -186.4215, -211.568, -203.4198, -222.6154, -224.1718, -202.9315, -200.0629, -187.1234, -213.5822, -200.4596, -229.8175, -210.2558, -195.9735, -197.5604, -223.5614, -196.767, -183.9496, -205.7697, -205.6476, -203.9081, -188.4052, -192.3419, -214.3756, -207.4787, 
0.00092, -441.1212, -198.7811, -195.3937, -204.0302, -204.3964, -221.6998, -229.5429, -201.5277, -186.2079, -201.8329, -200.4901, -209.5233, -238.8507, -190.8771, -191.2738, -202.8095, -217.9157, -204.1828, -198.8422, -207.4176, -209.4623, -212.1173, -199.5136, -200.4596, -201.131, -198.6896, 
0.00094, -437.5201, -194.7223, -198.476, -197.8656, -206.5021, -211.9647, -227.5897, -203.4503, -194.7528, -210.1337, -200.9784, -210.7746, -231.9843, -197.0416, -206.8073, -199.4525, -209.1876, -208.089, -214.223, -224.3549, -201.7413, -208.6078, -207.2955, -219.4415, -194.997, -209.035, 
0.00096, -429.7076, -196.2787, -207.6007, -215.1386, -201.7108, -211.8121, -230.2448, -197.4689, -209.4013, -189.4122, -201.07, -200.6122, -217.4884, -197.1637, -193.0133, -200.0934, -210.1947, -211.7816, -204.8541, -223.5004, -214.9249, -190.3888, -206.6547, -222.2797, -196.5534, -206.8073, 
0.00098, -420.8881, -193.8373, -205.1898, -226.2775, -192.8607, -220.5402, -229.0546, -194.5087, -207.9975, -200.7343, -209.4318, -190.6329, -217.9767, -211.6901, -196.0651, -209.5233, -216.4508, -213.3991, -201.3446, -220.296, -215.3827, -187.5812, -203.5114, -210.0116, -182.5458, -195.2411, 
0.001, -417.348, -210.1947, -199.9713, -218.1903, -200.4596, -212.7887, -216.3898, -205.1898, -203.1452, -217.1527, -201.8939, -207.9975, -228.1696, -199.8493, -192.8302, -206.7767, -208.6383, -200.9479, -209.0045, -217.6105, -216.9086, -208.3331, -211.0187, -195.6378, -192.464, -200.3375, 
0.00102, -428.4869, -207.9669, -194.234, -201.1615, -213.216, -216.2982, -222.3712, -201.5277, -212.9108, -210.8966, -193.4711, -189.5648, -229.6649, -206.1359, -208.6383, -203.8165, -208.9435, -204.7321, -212.0868, -210.8966, -214.8334, -215.932, -205.8002, -199.5136, -192.525, -205.9528, 
0.00104, -431.9965, -197.1027, -210.5609, -194.5697, -213.8263, -220.235, -220.6622, -206.5631, -202.0465, -201.6803, -187.9779, -192.8913, -221.12, -199.6967, -200.9174, -200.4596, -208.3026, -198.4149, -197.5604, -209.5538, -215.0775, -221.12, -198.7506, -189.1071, -204.7321, -196.0651, 
0.00106, -424.0619, -194.8444, -191.7926, -192.3114, -202.84, -221.12, -214.6808, -205.3729, -198.8422, -200.7038, -204.8236, -199.6967, -225.423, -198.8422, -204.0302, -198.4454, -224.6295, -184.0412, -188.1305, -217.9157, -222.4323, -207.1735, -195.5463, -182.912, -198.9032, -198.5675, 
0.00108, -434.3768, -192.7997, -182.6373, -199.6051, -200.7343, -209.3707, -223.8056, -184.0412, -207.7838, -223.0731, -198.0182, -193.5016, -227.0709, -213.7653, -205.6781, -195.9125, -218.9227, -198.1403, -192.4945, -214.5282, -208.2111, -182.6679, -205.1593, -198.8117, -197.5299, -195.0885, 
