Sweep Start (s), 121.8568, 122.0207, 122.1845, 122.3483, 122.5122, 122.676, 122.8399, 123.0037, 123.1675, 123.3314, 123.4952, 123.6591, 123.8229, 123.9867, 124.1506, 124.3144, 124.4783, 124.6421, 124.8059, 124.9698, 125.1336, 125.2975, 125.4613, 125.6251, 125.789, 125.9528, 126.1167, 126.2805, 126.4443, 126.6082, 126.772, 126.9359, 127.0997, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, Sweep #5, Sweep #6, Sweep #7, Sweep #8, Sweep #9, Sweep #10, Sweep #11, Sweep #12, Sweep #13, Sweep #14, Sweep #15, Sweep #16, Sweep #17, Sweep #18, Sweep #19, Sweep #20, Sweep #21, Sweep #22, Sweep #23, Sweep #24, Sweep #25, Sweep #26, Sweep #27, Sweep #28, Sweep #29, Sweep #30, Sweep #31, Sweep #32, Sweep #33, 
0.00016, -438.924, -211.3544, -223.653, -233.327, -202.9315, -197.4689, -226.0639, -209.6149, -203.3893, -181.966, -193.6847, -224.9347, -187.1234, -200.307, -222.4323, -198.1708, -197.9267, -221.2421, -195.6684, -211.507, -221.7304, -205.9528, -210.9271, -205.1288, -219.0753, -208.7299, -211.3849, -221.944, -199.2084, -196.4008, -201.7108, -197.3773, -231.6791, 
0.00018, -437.1539, -207.1735, -218.9227, -223.9276, -205.7697, -208.3942, -205.6476, -201.4667, -201.5582, -187.4591, -196.9501, -239.6747, -186.0858, -207.8143, -221.8219, -209.9811, -203.2977, -197.7741, -194.7528, -215.047, -211.0187, -206.4411, -223.2562, -213.6432, -229.6344, -213.4601, -199.7577, -220.5402, -194.0814, -199.3305, -203.5419, -182.6068, -230.611, 
0.0002, -439.87, -195.7599, -226.8268, -226.9184, -214.8639, -201.3141, -199.8493, -203.7555, -194.997, -172.2614, -197.8656, -229.6954, -205.0372, -205.5866, -220.6928, -191.9757, -212.0563, -219.5331, -206.6547, -184.7736, -211.0797, -200.0018, -235.0665, -205.4645, -226.4606, -198.2929, -188.3441, -219.2584, -197.1027, -202.2907, -197.8656, -201.9245, -227.8339, 
0.00022, -440.6024, -197.652, -230.3058, -224.4159, -196.9196, -206.5326, -209.6454, -200.7953, -198.6286, -172.1088, -200.9479, -218.8312, -210.1642, -195.9125, -219.5026, -207.6312, -209.2487, -228.4747, -207.9669, -200.6732, -234.975, -194.173, -243.5199, -201.6498, -236.0431, -189.3817, -195.1496, -232.4115, -195.0885, -199.7577, -186.4826, -203.5114, -227.3151, 
0.00024, -427.0221, -211.9037, -243.9777, -223.1952, -201.8939, -206.1054, -208.8825, -189.5648, -218.9838, -177.4188, -206.4716, -210.3473, -205.3424, -193.5321, -228.6579, -206.4411, -210.1642, -226.0028, -203.3893, -206.0443, -228.1696, -191.8842, -233.9374, -198.1403, -223.653, -201.131, -215.7184, -234.9445, -200.3986, -187.1845, -199.2389, -214.4977, -206.0748, 
0.00026, -431.2946, -198.0487, -236.745, -219.4721, -203.9996, -204.8541, -194.4171, -201.3446, -212.392, -175.3436, -208.6688, -220.5707, -207.5397, -210.1337, -222.5849, -202.2296, -192.9828, -217.5495, -195.9125, -207.4787, -223.9581, -190.3888, -223.8971, -197.8961, -227.7118, -214.9555, -198.0182, -229.6344, -192.0368, -209.2792, -198.476, -213.0023, -226.6742, 
0.00028, -436.7572, -196.767, -222.1881, -220.9064, -209.4318, -190.9992, -189.4428, -220.9064, -205.2509, -173.8483, -198.9642, -224.0192, -218.7396, -202.2601, -219.7162, -217.5495, -196.6449, -222.4017, -195.4852, -193.0133, -225.8808, -182.851, -239.9188, -205.7392, -229.787, -224.4464, -195.2106, -228.078, -198.0792, -204.1217, -200.8258, -195.2716, -233.8153, 
0.0003, -447.1027, -196.004, -223.9581, -227.7423, -186.9403, -193.288, -192.6776, -193.0744, -199.6356, -179.8297, -195.6378, -226.1249, -226.6132, -189.7479, -227.6813, -204.0912, -197.2858, -220.4791, -200.5206, -188.7714, -222.7374, -184.8041, -234.151, -208.6688, -216.7865, -198.537, -204.3353, -221.5778, -207.3566, -207.6923, -189.7479, -215.7184, -228.5968, 
0.00032, -437.3676, -200.8563, -230.4584, -219.1974, -200.6732, -208.7909, -175.2826, -188.3441, -195.9735, -193.9594, -204.61, -228.1696, -209.5844, -200.0018, -224.6906, -190.3888, -198.8422, -214.101, -205.0983, -207.5092, -229.0241, -192.8607, -222.9511, -205.4645, -220.6012, -198.8422, -202.8095, -211.2628, -195.9735, -207.8143, -192.2504, -199.6356, -217.0917, 
0.00034, -434.0106, -202.901, -224.5075, -227.0709, -204.0302, -202.1686, -191.9452, -204.2438, -203.1757, -181.6913, -205.0678, -212.3615, -183.797, -204.4269, -227.5897, -196.2177, -204.671, -218.5565, -202.8705, -213.5211, -222.2186, -184.7431, -223.1647, -199.1474, -229.2987, -208.974, -204.671, -217.4579, -193.8068, -211.9037, -203.2672, -182.6068, -215.5963, 
