Sweep Start (s), 16.46874, 16.63258, 16.79642, 16.96026, 17.1241, 17.28794, 17.45178, 17.61562, 17.77946, 17.9433, 18.10714, 18.27098, 18.43482, 18.59866, 18.7625, 18.92634, 19.09018, 19.25402, 19.41786, 19.5817, 19.74554, 19.90938, 20.07322, 20.23706, 20.4009, 20.56474, 20.72858, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, Sweep #5, Sweep #6, Sweep #7, Sweep #8, Sweep #9, Sweep #10, Sweep #11, Sweep #12, Sweep #13, Sweep #14, Sweep #15, Sweep #16, Sweep #17, Sweep #18, Sweep #19, Sweep #20, Sweep #21, Sweep #22, Sweep #23, Sweep #24, Sweep #25, Sweep #26, Sweep #27, 
0.00016, -448.6591, -190.3278, -203.4809, -203.9081, -192.9523, -223.653, -198.1403, -188.039, -122.4567, -204.2438, -199.5746, -201.3446, -235.7074, -204.7931, -207.8754, -238.8507, -197.2247, -209.859, -196.2482, -200.6122, -196.2482, -211.0187, -212.3615, -204.6405, -183.736, -200.4596, -191.4569, 
0.00018, -438.3441, -199.2389, -197.6215, -195.6684, -196.8585, -219.411, -212.2089, -185.4755, -112.9657, -200.9479, -195.1801, -188.985, -223.653, -189.9616, -189.9921, -232.1369, -191.3959, -219.4415, -197.9877, -204.61, -195.6378, -195.5463, -211.9037, -195.943, -188.6798, -191.7926, -191.1212, 
0.0002, -424.6112, -199.1474, -190.3583, -205.7392, -194.4476, -210.4389, -204.5184, -186.7572, -106.9538, -186.2995, -202.901, -190.2667, -206.6547, -206.319, -192.1893, -223.0731, -188.0084, -218.3124, -195.3327, -206.8378, -198.2013, -188.1305, -217.3053, -207.9669, -202.901, -191.3043, -216.0236, 
0.00022, -430.4706, -192.0368, -193.8678, -206.2885, -192.9828, -206.0748, -193.0438, -194.6918, -115.7428, -195.7904, -210.9271, -190.8161, -215.4132, -199.6051, -188.8019, -218.0988, -200.7038, -205.9223, -201.6498, -201.3446, -185.2924, -194.173, -210.5304, -214.7418, -195.943, -211.507, -198.7506, 
0.00024, -418.2025, -190.5414, -193.0438, -209.1571, -201.3751, -195.4242, -199.0863, -201.955, -128.7433, -186.5436, -189.1986, -192.0673, -227.6203, -196.1871, -192.8913, -232.0148, -200.6732, -193.5932, -190.6635, -179.0973, -199.4525, -189.7785, -218.6176, -200.4901, -184.1327, -196.5228, -189.3817, 
0.00026, -433.0646, -193.0438, -205.556, -207.0209, -201.4972, -207.3566, -195.2411, -202.4433, -125.9967, -189.6869, -179.2499, -193.3185, -225.0568, -201.8024, -194.6918, -232.0148, -198.6896, -203.2977, -191.0602, -182.1185, -207.5092, -195.2716, -201.2531, -197.591, -177.3273, -187.7338, -188.1, 
0.00028, -431.264, -198.3234, -205.8002, -200.8563, -187.0319, -214.7418, -202.1686, -185.4755, -129.1705, -199.0253, -199.2999, -199.0253, -222.7374, -205.0983, -206.9293, -231.0687, -180.8063, -216.6034, -193.9594, -204.0912, -190.4193, -200.9784, -213.2465, -199.3915, -204.61, -183.7055, -214.6503, 
0.0003, -429.1278, -191.8842, -207.4787, -201.3446, -190.9992, -212.1784, -206.8988, -182.6068, -136.4337, -187.6727, -200.3986, -198.8727, -227.5592, -208.7909, -195.8515, -207.0514, -196.2177, -220.296, -193.2575, -214.223, -199.6051, -203.2672, -221.7914, -203.0536, -207.9059, -187.3676, -202.1686, 
0.00032, -412.1295, -192.9828, -212.392, -197.4384, -189.2291, -204.9457, -213.7653, -192.3419, -160.2374, -196.6449, -202.1991, -208.4552, -221.0285, -198.3539, -190.7855, -209.4318, -195.8209, -206.319, -189.4733, -199.361, -205.434, -200.0324, -216.1456, -193.5016, -213.6737, -210.3778, -183.4613, 
0.00034, -427.8461, -191.1517, -192.0368, -199.6051, -205.8307, -207.1124, -217.2138, -192.3725, -172.475, -194.3561, -190.9076, -198.6286, -222.5238, -197.2858, -189.3207, -232.6557, -204.3048, -198.476, -195.4852, -192.3419, -198.3844, -197.7741, -211.4459, -192.5556, -202.4433, -198.5675, -189.809, 
0.00036, -437.9169, -183.0646, -187.7948, -197.1942, -205.8002, -215.4743, -210.2252, -193.5932, -201.8024, -194.3256, -200.1239, -206.1969, -213.6127, -190.6635, -197.9572, -224.5075, -207.6923, -206.5936, -207.3871, -200.8869, -203.1452, -189.809, -210.683, -204.2438, -198.2623, -202.0465, -195.4852, 
0.00038, -435.6281, -197.7741, -208.8214, -200.185, -194.8749, -224.0192, -190.9381, -191.1212, -204.9762, -182.6984, -200.9479, -188.8324, -215.4132, -188.8934, -194.0509, -211.4459, -203.786, -212.7277, -214.5282, -206.5936, -198.0487, -196.004, -208.1195, -193.6542, -192.1588, -192.8913, -191.6095, 
